"Date","Price","Open","High","Low","Vol.","Change %"
"22-05-2026","652.80","638.15","660.00","635.15","5.88M","2.30%"
"21-05-2026","638.10","616.00","654.70","614.30","11.45M","4.50%"
"20-05-2026","610.60","617.95","617.95","601.10","2.63M","-2.04%"
"19-05-2026","623.30","623.35","636.40","614.40","3.83M","2.16%"
"18-05-2026","610.10","611.00","615.90","596.15","1.52M","-1.00%"
"15-05-2026","616.25","645.00","657.75","606.30","5.97M","0.60%"
"14-05-2026","612.60","608.00","618.50","602.00","1.68M","1.01%"
"13-05-2026","606.50","594.95","617.00","590.00","1.62M","2.57%"
"12-05-2026","591.30","619.95","623.75","588.10","1.42M","-4.71%"
"11-05-2026","620.50","629.80","629.80","615.70","1.26M","-1.98%"
"08-05-2026","633.05","643.95","648.95","629.30","1.24M","-1.74%"
"07-05-2026","644.25","655.00","657.00","640.50","1.52M","-1.04%"
"06-05-2026","651.00","652.00","658.00","641.00","1.81M","0.59%"
"05-05-2026","647.20","644.85","653.60","636.65","2.18M","0.63%"
"04-05-2026","643.15","641.95","665.80","638.10","3.92M","1.33%"
"30-04-2026","634.70","657.90","659.85","625.80","3.27M","-3.39%"
"29-04-2026","656.95","658.00","679.95","650.00","5.06M","0.47%"
"28-04-2026","653.85","639.00","684.90","636.85","15.86M","2.87%"
"27-04-2026","635.60","632.00","649.00","626.00","3.23M","1.40%"
"24-04-2026","626.85","625.00","629.70","604.40","2.59M","0.83%"
"23-04-2026","621.70","629.00","638.00","620.10","2.32M","-1.18%"
"22-04-2026","629.10","615.75","633.55","614.00","2.99M","2.35%"
"21-04-2026","614.65","621.00","631.70","612.50","1.84M","-0.92%"
"20-04-2026","620.35","634.35","640.50","611.05","3.75M","-1.98%"
"17-04-2026","632.90","610.00","649.50","602.10","8.87M","5.91%"
"16-04-2026","597.60","589.90","603.00","582.50","3.80M","1.96%"
"15-04-2026","586.10","585.00","590.95","573.05","2.47M","2.39%"
"13-04-2026","572.40","551.05","593.45","551.05","4.87M","-1.49%"
"10-04-2026","581.05","552.95","585.60","551.40","7.68M","5.66%"
"09-04-2026","549.90","554.00","554.65","544.25","1.97M","-1.63%"
"08-04-2026","559.00","522.55","589.00","522.55","15.29M","7.59%"
"07-04-2026","519.55","521.00","527.70","516.15","994.82K","-0.75%"
"06-04-2026","523.45","520.05","526.00","512.80","1.71M","0.65%"
"02-04-2026","520.05","515.00","522.55","509.15","1.38M","-0.16%"
"01-04-2026","520.90","530.00","530.00","513.30","1.85M","2.15%"
"30-03-2026","509.95","527.10","537.65","502.45","3.24M","-3.62%"
"27-03-2026","529.10","521.95","553.50","511.50","11.38M","1.59%"
"25-03-2026","520.80","529.00","531.40","518.05","2.04M","-0.21%"
"24-03-2026","521.90","532.00","534.70","508.65","3.67M","1.62%"
"23-03-2026","513.60","547.50","547.50","510.10","3.90M","-6.94%"
"20-03-2026","551.90","576.15","592.30","545.00","13.35M","-0.76%"
"19-03-2026","556.15","535.65","580.00","517.70","50.30M","7.85%"
"18-03-2026","515.65","520.00","520.40","508.05","2.89M","-0.23%"
"17-03-2026","516.85","525.70","533.70","490.00","8.61M","-1.00%"
"16-03-2026","522.05","588.95","604.30","514.10","18.28M","-7.75%"
"13-03-2026","565.90","624.00","644.85","554.00","31.84M","-6.86%"
"12-03-2026","607.60","594.00","651.00","589.90","48.59M","7.18%"
"11-03-2026","566.90","479.00","566.90","474.90","18.96M","19.99%"
"10-03-2026","472.45","468.95","478.00","463.45","793.30K","0.97%"
"09-03-2026","467.90","481.00","481.00","462.80","476.13K","-3.06%"
"06-03-2026","482.65","485.00","492.00","481.20","363.83K","-0.17%"
"05-03-2026","483.45","481.50","486.50","478.00","459.71K","0.55%"
"04-03-2026","480.80","487.90","487.90","477.00","533.47K","-2.44%"
"02-03-2026","492.85","489.85","500.00","483.00","754.60K","-3.74%"
"27-02-2026","512.00","516.10","517.60","510.05","208.80K","-0.79%"
"26-02-2026","516.10","517.50","519.90","514.00","174.55K","0.18%"
"25-02-2026","515.15","523.65","523.65","513.05","276.40K","-0.58%"
"24-02-2026","518.15","523.00","523.70","515.15","275.65K","-1.42%"
"23-02-2026","525.60","522.00","528.10","521.55","279.10K","1.23%"
"20-02-2026","519.20","522.40","524.45","518.00","317.39K","-0.54%"
"19-02-2026","522.00","531.00","534.20","520.00","231.92K","-1.69%"
"18-02-2026","531.00","533.00","538.20","528.85","282.16K","-0.53%"
"17-02-2026","533.85","529.50","536.00","525.00","277.89K","0.91%"
"16-02-2026","529.05","521.00","533.00","515.10","370.26K","1.76%"
"13-02-2026","519.90","533.00","533.50","518.05","473.48K","-2.99%"
"12-02-2026","535.95","542.00","544.35","533.00","241.21K","-1.16%"
"11-02-2026","542.25","543.20","545.00","539.20","229.07K","-0.17%"
"10-02-2026","543.20","548.20","549.00","539.55","380.04K","-0.43%"
"09-02-2026","545.55","552.80","564.80","544.00","542.45K","0.38%"
"06-02-2026","543.50","545.00","552.25","540.25","360.15K","-0.35%"
"05-02-2026","545.40","549.65","553.15","543.00","303.89K","-0.64%"
"04-02-2026","548.90","535.05","553.15","535.05","818.59K","1.21%"
"03-02-2026","542.35","550.00","558.00","537.00","1.65M","4.49%"
"02-02-2026","519.05","522.65","525.90","511.00","500.25K","0.22%"
"01-02-2026","517.90","529.80","530.45","514.50","368.29K","-1.72%"
"30-01-2026","526.95","527.10","531.25","520.60","355.05K","-0.03%"
"29-01-2026","527.10","529.85","536.15","522.00","680.54K","-0.52%"
"28-01-2026","529.85","527.00","534.95","519.60","510.04K","0.87%"
"27-01-2026","525.30","528.05","536.70","513.05","1.41M","1.52%"
"23-01-2026","517.45","550.65","550.65","507.05","2.18M","-5.57%"
"22-01-2026","548.00","532.95","555.00","532.95","647.55K","3.76%"
"21-01-2026","528.15","534.95","537.80","522.80","650.51K","-0.78%"
"20-01-2026","532.30","544.70","548.75","530.00","467.31K","-2.28%"
"19-01-2026","544.70","548.95","550.50","541.50","326.61K","-0.37%"
"16-01-2026","546.75","554.95","558.05","545.00","553.85K","-1.38%"
"14-01-2026","554.40","555.45","558.80","552.95","250.49K","-0.19%"
"13-01-2026","555.45","558.85","564.00","554.00","307.39K","-0.32%"
"12-01-2026","557.25","555.35","559.35","544.50","484.29K","0.13%"
"09-01-2026","556.55","563.95","564.00","555.30","375.61K","-1.35%"
"08-01-2026","564.15","572.00","577.80","561.05","526.32K","-1.29%"
"07-01-2026","571.50","571.00","572.50","568.00","344.25K","0.20%"
"06-01-2026","570.35","578.20","581.85","569.00","435.88K","-1.16%"
"05-01-2026","577.05","587.55","587.60","575.75","562.51K","-1.80%"
"02-01-2026","587.60","588.50","591.80","585.10","809.54K","-1.09%"
"01-01-2026","594.10","567.35","621.00","567.35","10.98M","4.84%"
"31-12-2025","566.70","564.90","571.05","564.10","248.35K","0.47%"
"30-12-2025","564.05","565.00","567.15","562.50","243.33K","-0.15%"
"29-12-2025","564.90","570.55","572.10","563.10","302.38K","-0.86%"
"26-12-2025","569.80","565.15","585.00","563.00","842.89K","0.81%"
"24-12-2025","565.20","565.10","569.35","561.00","554.32K","0.32%"
"23-12-2025","563.40","570.85","570.90","562.40","534.92K","-0.93%"
"22-12-2025","568.70","573.30","573.70","567.50","506.62K","-0.01%"
"19-12-2025","568.75","582.00","585.60","562.75","760.70K","-2.27%"
"18-12-2025","581.95","584.55","585.00","575.20","252.72K","-0.46%"
"17-12-2025","584.65","586.80","590.00","580.30","232.81K","-0.38%"
"16-12-2025","586.90","592.00","592.50","585.10","189.27K","-0.95%"
"15-12-2025","592.55","593.50","597.85","590.35","200.02K","-0.19%"
"12-12-2025","593.70","589.40","597.30","589.15","288.95K","1.13%"
"11-12-2025","587.05","588.00","591.25","581.55","300.21K","-0.31%"
"10-12-2025","588.90","591.20","596.70","584.00","352.28K","-0.20%"
"09-12-2025","590.10","574.00","594.00","570.40","635.13K","2.26%"
"08-12-2025","577.05","594.00","594.05","573.00","663.92K","-2.71%"
"05-12-2025","593.15","595.00","597.45","590.15","242.00K","0.03%"
"04-12-2025","593.00","592.80","597.00","591.10","231.42K","-0.07%"
"03-12-2025","593.40","601.50","602.25","591.00","389.28K","-1.37%"
"02-12-2025","601.65","605.00","606.00","600.25","246.34K","-0.86%"
"01-12-2025","606.85","609.05","610.90","604.00","290.73K","0.03%"
"28-11-2025","606.65","604.30","612.80","601.05","452.53K","0.54%"
"27-11-2025","603.40","606.75","609.95","602.10","237.75K","-0.39%"
"26-11-2025","605.75","607.15","609.20","604.60","233.34K","0.17%"
"25-11-2025","604.75","602.00","606.75","599.05","322.65K","0.47%"
"24-11-2025","601.90","608.80","610.00","601.00","342.09K","-1.00%"
"21-11-2025","608.00","610.00","611.95","605.00","394.88K","-0.17%"
"20-11-2025","609.05","613.90","621.40","605.90","591.54K","-0.24%"
"19-11-2025","610.50","614.75","616.95","608.60","379.04K","-0.38%"
"18-11-2025","612.80","622.20","625.30","611.85","530.95K","-1.46%"
"17-11-2025","621.85","630.00","630.00","620.60","387.01K","-0.53%"
"14-11-2025","625.15","623.90","634.90","621.60","931.13K","0.94%"
"13-11-2025","619.30","622.00","628.50","617.60","539.94K","-0.14%"
"12-11-2025","620.15","616.00","634.30","613.80","1.18M","1.23%"
"11-11-2025","612.60","612.90","616.00","608.45","433.08K","0.30%"
"10-11-2025","610.75","610.55","615.50","609.25","436.27K","-0.07%"
"07-11-2025","611.20","615.10","617.45","607.20","629.85K","-1.03%"
"06-11-2025","617.55","629.10","630.00","615.90","632.99K","-1.84%"
"04-11-2025","629.10","626.10","631.70","623.00","524.87K","0.42%"
"03-11-2025","626.50","631.60","634.90","625.25","507.60K","-0.81%"
"31-10-2025","631.60","639.00","643.95","630.00","860.57K","-1.10%"
"30-10-2025","638.65","634.90","643.50","631.40","982.88K","0.69%"
"29-10-2025","634.25","620.80","675.00","613.55","8.47M","2.13%"
"28-10-2025","621.00","622.35","624.60","618.40","438.77K","0.32%"
"27-10-2025","619.05","623.00","624.00","618.00","377.48K","-0.56%"
"24-10-2025","622.55","620.20","624.90","618.00","551.55K","-0.14%"
"23-10-2025","623.40","629.75","629.75","622.00","549.01K","0.02%"
"21-10-2025","623.30","624.00","627.35","621.00","120.67K","0.42%"
"20-10-2025","620.70","621.90","623.70","617.60","600.38K","0.15%"
"17-10-2025","619.80","622.15","639.95","617.00","1.42M","-0.30%"
